complaint,category
The search feature is not returning any results.,page error
I am unable to click on the links in the navbar.,page error
The text on the page is overlapping and unreadable.,page error
The images on the page are not loading properly.,page error
I am unable to log in to my account.,page error
I am getting an error message when trying to submit a form.,page error
The navigation links are not directing me to the correct pages.,page error
The page is displaying outdated information.,page error
The login page is not secure.,page error
The search autocomplete feature is not working.,page error
I am unable to scroll down the page.,page error
The images are overlapping with each other.,page error
I am unable to view the page in fullscreen mode.,page error
The login form is not displaying properly on my screen.,page error
The page is not compatible with my web browser.,page error
The search filters are not working as expected.,page error
I am unable to upload an image on the page.,page error
The login page is not accessible for visually impaired users.,page error
The page is displaying incorrect pricing information.,page error
The navigation menu is missing from the page.,page error
I am unable to edit or update my account information.,page error
The search feature is not available in my preferred language.,page error
The images are not loading on certain browsers.,page error
I am unable to view the page on my tablet device.,page error
The login form is not accepting special characters in the password.,page error
The page is displaying broken links.,page error
The search results are not paginated correctly.,page error
I am unable to add items to my cart.,page error
The images are not resizing properly on different screen sizes.,page error
I am getting a server error when accessing the page.,page error
The login form is not providing any feedback on incorrect credentials.,page error
The page is displaying outdated product information.,page error
The navigation links are not highlighted when active.,page error
I am unable to save my settings on the page.,page error
The search feature is not case-sensitive.,page error
The images are not loading in high resolution.,page error
I am unable to access certain pages after logging in.,page error
The login form is not compatible with password managers.,page error
The page is not displaying the latest news or updates.,page error
The navigation dropdown menus are not working properly.,page error
I am unable to remove items from my cart.,page error
The images are not displaying captions or alt text.,page error
I am getting a security warning when accessing the page.,page error
The login form is not remembering my username.,page error
The page is not displaying the correct currency symbol.,page error
The search feature is not suggesting relevant keywords.,page error
The images are not loading when using a slow internet connection.,page error
I am unable to access the page on my smartphone.,page error
The login form is not validating the email address format.,page error
The page is displaying incorrect contact information.,page error
The navigation links are redirecting me to unrelated pages.,page error
I am unable to apply filters on the search results.,page error
The images are not displaying the correct aspect ratio.,page error
I am getting a timeout error when submitting a form.,page error
The login form is not providing a "Forgot Password" option.,page error
The page is not displaying the terms and conditions correctly.,page error
The search feature is not returning any autocomplete suggestions.,page error
The images are not loading when using a specific operating system.,page error
I am unable to access certain features after logging in.,page error
The login form is not displaying a password strength indicator.,page error
The page is not displaying the correct product availability.,page error
The navigation links are not visible on certain pages.,page error
I am unable to change my profile picture on the page.,page error
The images are not loading when using a particular browser version.,page error
I am getting a database error when accessing the page.,page error
The login form is not providing a way to create a new account.,page error
The page is not displaying the correct shipping options.,page error
The navigation links are not working on mobile devices.,page error
I am unable to update my billing address on the page.,page error
The images are not loading when using a specific screen resolution.,page error
I am getting a "404 Not Found" error when accessing a page.,page error
The login form is not displaying the password requirements.,page error
The page is not displaying the correct product descriptions.,page error
The navigation links are overlapping with other page elements.,page error
I am unable to view my order history on the page.,page error
The images are not loading when using a particular internet provider.,page error
I am getting a "503 Service Unavailable" error when accessing the page.,page error
The login form is not providing a way to log out.,page error
The page is not displaying the correct product ratings.,page error
The navigation links are not aligned properly on the page.,page error
I am unable to view my saved items or wishlist on the page.,page error
The images are not loading when using a specific device model.,page error
I am getting a "403 Forbidden" error when accessing a page.,page error
The navigation links are not working after performing a search.,page error
I am unable to access the page from a specific geographical location.,page error
The images are not loading when using a specific proxy server.,page error
I am getting a "504 Gateway Timeout" error when accessing the page.,page error
The login form is not providing a way to change the password.,page error
The page is not displaying the correct product sizes.,page error
The navigation links are not working in certain time zones.,page error
I am unable to add products to my wishlist on the page.,page error
The images are not loading when using a specific VPN configuration.,page error
I am getting a "408 Request Timeout" error when accessing the page.,page error
The login form is not displaying the password requirements accurately.,page error
The page is not displaying the correct product colors.,page error
The navigation links are not working on certain devices.,page error
I am unable to view customer reviews on the page.,page error
The images are not loading when using a specific content filtering system.,page error
I am getting a "429 Too Many Requests" error when accessing the page.,page error
The login form is not providing a way to update account information.,page error
The page is not displaying the correct product availability in different regions.,page error
The navigation links are not working in certain network configurations.,page error
I am unable to access the page using a specific internet service provider.,page error
The images are not loading when using a specific ad-blocking software.,page error
I am getting a "413 Payload Too Large" error when submitting a form.,page error
The login form is not displaying the password requirements consistently.,page error
The page is not displaying the correct product specifications.,page error
The navigation links are not working on certain operating systems.,page error
I am unable to view product recommendations on the page.,page error
The images are not loading when using a specific browser extension.,page error
I am getting a "401 Unauthorized" error when accessing a page.,page error
The login form is not providing a way to update email address.,page error
The page is not displaying the correct product reviews and ratings.,page error
The navigation links are not working in certain browser configurations.,page error
I am unable to access certain pages on the page after a certain time.,page error
The images are not loading when using a specific caching mechanism.,page error
I am getting a "400 Bad Request" error when submitting a form.,page error
The login form is not displaying the password requirements properly.,page error
The page is not displaying the correct product recommendations.,page error
The navigation links are not working when using a specific screen reader.,page error
I am unable to view the page using a specific proxy configuration.,page error
The images are not loading when using a specific cookie settings.,page error
I am getting a "413 Request Entity Too Large" error when uploading a file.,page error
The login form is not providing a way to update billing information.,page error
The page is not displaying the correct product promotions.,page error
The navigation links are not working on certain accessibility settings.,page error
I am unable to access certain pages on the page from a specific country.,page error
The images are not loading when using a specific browser plugin.,page error
I am getting a "408 Request Timeout" error when performing a search.,page error
The login form is not displaying the password requirements clearly.,page error
The page is not displaying the correct product discounts.,page error
The navigation links are not working after adding items to the cart.,page error
The website layout is confusing and difficult to navigate.,UX
"The font size is too small, making it hard to read the text.",UX
There are too many pop-up ads that interrupt the user experience.,UX
The color scheme makes it difficult to distinguish between different elements.,UX
The website does not have a responsive design and does not work well on mobile devices.,UX
The checkout process is complicated and requires too many steps.,UX
"The page takes too long to load, causing frustration for users.",UX
The website lacks clear and intuitive instructions on how to use certain features.,UX
The search feature does not provide relevant suggestions or results.,UX
The buttons and links on the website are not clearly labeled.,UX
The website does not provide an option to change the language or translate the content.,UX
The error messages displayed on the website are vague and unhelpful.,UX
The website does not remember user preferences or settings.,UX
The navigation menu is hidden or difficult to access.,UX
The website does not provide a smooth scrolling experience.,UX
The images and videos on the website do not resize or adapt to different screen sizes.,UX
The website does not provide a clear call-to-action for important actions.,UX
The form fields are not properly labeled or marked as required.,UX
The website does not provide a clear way to contact customer support.,UX
"The website does not have a clear hierarchy of information, making it hard to find what you're looking for.",UX
The website does not provide feedback or confirmation when a user completes an action.,UX
The website does not provide an option to save or bookmark favorite pages or items.,UX
The website does not provide a progress indicator when loading content or performing actions.,UX
The website does not provide an option to undo or revert changes.,UX
The website does not provide a clear indication of the user's current location or page in the navigation.,UX
The website does not offer a smooth and seamless transition between pages or sections.,UX
The website does not provide a clear way to return to the homepage from any page.,UX
The website does not provide an option for users to customize their experience or preferences.,UX
The website does not provide a clear way to cancel or unsubscribe from services or subscriptions.,UX
The website does not provide a clear indication of loading progress when fetching data or content.,UX
The website does not provide tooltips or explanatory text for complex features or icons.,UX
The website does not provide a clear way to navigate back to previously visited pages.,UX
The website does not provide a clear way to sort or filter search results.,UX
The website does not provide a clear way to edit or update user profiles or account information.,UX
The website does not provide a clear way to view and manage notifications or alerts.,UX
The website does not provide a clear way to access help or support documentation.,UX
